SNUMBER	STNAME	AREAL_NOR	AREAL_UTM3	GRAD_1085	GRAD_FELT	GRAD_ELV	HEIGHT_MIN	HEIGHT_10	HEIGHT_20	HEIGHT_30	HEIGHT_40	HEIGHT_50	HEIGHT_60	HEIGHT_70	HEIGHT_80	HEIGHT_90	HEIGHT_MAX	FELT_LE_KM	ELV_LE_KM	JORDBRUKPR	MYRPRO	EFF_MYR	EFF_SJO	SKOGPRO	BREPRO	SJOPRO	SNAUFJPRO	URBANPRO
000200438000	Flena	210.280	210.280	15.97	14.13	17.63	251	510	623	675	696	734	782	820	861	923	1134	25.30	28.59	0.07	10.66	0.00	3.57	70.18	0.00	2.90	11.86	0.00
000200626000	Tunna	648.510	648.510	13.46	14.68	21.38	495	712	758	803	847	890	935	977	1035	1107	1619	32.44	46.18	2.13	12.07	0.00	0.04	42.36	0.00	1.42	36.33	0.00
000200186000	Hæra	189.440	189.440	1.60	13.19	4.86	114	137	148	159	166	176	186	199	215	234	329	20.99	35.82	24.37	2.28	0.00	0.13	68.16	0.00	2.28	0.00	0.28
023400015000	Storfossen	9579.820	13985.190	1.06	0.00	1.58	42	240	277	302	326	349	371	393	418	453	1064	207.30	292.90	0.20	11.68	0.00	0.03	52.32	0.00	4.10	19.87	0.08
001600055000	Eikonrød	156.360	156.360	14.95	23.85	21.23	129	297	397	465	499	540	569	604	639	687	812	20.81	23.55	0.15	2.38	0.00	2.98	83.15	0.00	8.89	4.88	0.00
003500016000	Djupadalsvatn	45.340	45.340	38.79	25.65	35.23	338	386	456	522	589	626	681	736	787	894	1128	13.20	20.22	0.00	3.79	0.00	3.54	33.08	0.00	10.00	46.10	0.00
004600011000	Blådalsvatn	11.100	11.100	41.70	30.99	62.10	1071	1132	1210	1271	1323	1349	1367	1398	1433	1475	1570	4.70	3.81	0.00	0.00	0.00	4.58	0.00	35.07	5.40	59.56	0.00
000200298000	Russa	144.800	144.800	31.46	29.78	33.75	890	1178	1235	1328	1432	1518	1593	1674	1783	1933	2366	20.81	23.83	0.00	0.83	0.00	2.29	2.19	0.00	3.90	84.32	0.00
002700024000	Helleland	184.720	184.720	15.16	35.71	16.98	86	184	215	315	401	489	543	592	636	683	904	27.36	34.56	4.08	1.12	0.00	1.15	22.62	0.00	8.35	48.35	0.03
003600004000	Førland Bru	1406.450	1406.450	9.02	35.33	14.53	56	421	677	815	943	1040	1117	1205	1293	1404	1689	74.58	99.89	0.54	0.60	0.00	2.27	19.07	0.54	8.54	67.29	0.05
